date,company,values
6/20/2015,Yandex.Taxi,0.02640679
6/27/2015,Yandex.Taxi,0.026520666
7/4/2015,Yandex.Taxi,0.027174951
7/11/2015,Yandex.Taxi,0.029024594
7/18/2015,Yandex.Taxi,0.029589254
7/25/2015,Yandex.Taxi,0.02986337
8/1/2015,Yandex.Taxi,0.031256208
8/8/2015,Yandex.Taxi,0.031760985
8/15/2015,Yandex.Taxi,0.032564173
8/22/2015,Yandex.Taxi,0.032511835
8/29/2015,Yandex.Taxi,0.030875383
9/5/2015,Yandex.Taxi,0.028927964
9/12/2015,Yandex.Taxi,0.028943975
9/19/2015,Yandex.Taxi,0.028255618
9/26/2015,Yandex.Taxi,0.027277444
4/5/2014,Gett Taxi,0.005215124
4/12/2014,Gett Taxi,0.004912431
4/19/2014,Gett Taxi,0.004904318
4/26/2014,Gett Taxi,0.005757307
5/3/2014,Gett Taxi,0.005952902
5/10/2014,Gett Taxi,0.005450277
5/17/2014,Gett Taxi,0.005479894
5/24/2014,Gett Taxi,0.004676175
5/31/2014,Gett Taxi,0.00469875
6/7/2014,Gett Taxi,0.00559034
6/14/2014,Gett Taxi,0.004420732
6/21/2014,Gett Taxi,0.005211047
6/28/2014,Gett Taxi,0.005699904
7/5/2014,Gett Taxi,0.005291394
7/12/2014,Gett Taxi,0.006017545
7/19/2014,Gett Taxi,0.006466613
7/26/2014,Gett Taxi,0.006443672
8/2/2014,Gett Taxi,0.006376812
8/9/2014,Gett Taxi,0.005896735
8/16/2014,Gett Taxi,0.006364922
8/23/2014,Gett Taxi,0.006254832
8/30/2014,Gett Taxi,0.006993486
9/6/2014,Gett Taxi,0.006484642
9/13/2014,Gett Taxi,0.006041079
9/20/2014,Gett Taxi,0.005600949
9/27/2014,Gett Taxi,0.006239844
10/4/2014,Gett Taxi,0.006863062
10/11/2014,Gett Taxi,0.006307741
10/18/2014,Gett Taxi,0.007010231
10/25/2014,Gett Taxi,0.006785625
11/1/2014,Gett Taxi,0.006709285
11/8/2014,Gett Taxi,0.006540558
11/15/2014,Gett Taxi,0.006322711
11/22/2014,Gett Taxi,0.006387736
11/29/2014,Gett Taxi,0.007083147
12/6/2014,Gett Taxi,0.00768295
12/13/2014,Gett Taxi,0.008172458
12/20/2014,Gett Taxi,0.008666969
12/27/2014,Gett Taxi,0.0095145
1/3/2015,Gett Taxi,0.009142389
1/10/2015,Gett Taxi,0.00866915
1/17/2015,Gett Taxi,0.007580795
1/24/2015,Gett Taxi,0.007170581
1/31/2015,Gett Taxi,0.006685273
2/7/2015,Gett Taxi,0.007292733
2/14/2015,Gett Taxi,0.008181528
2/21/2015,Gett Taxi,0.008381689
2/28/2015,Gett Taxi,0.00913982
3/7/2015,Gett Taxi,0.007783615
3/14/2015,Gett Taxi,0.007530023
3/21/2015,Gett Taxi,0.007868475
3/28/2015,Gett Taxi,0.007516442
4/4/2015,Gett Taxi,0.008003448
4/11/2015,Gett Taxi,0.00813351
4/18/2015,Gett Taxi,0.008575712
4/25/2015,Gett Taxi,0.009195128
5/2/2015,Gett Taxi,0.009540013
5/9/2015,Gett Taxi,0.00969394
5/16/2015,Gett Taxi,0.009154156
5/23/2015,Gett Taxi,0.009028795
5/30/2015,Gett Taxi,0.009420113
6/6/2015,Gett Taxi,0.010787154
6/13/2015,Gett Taxi,0.011003439
6/20/2015,Gett Taxi,0.011254323
6/27/2015,Gett Taxi,0.011962782
7/4/2015,Gett Taxi,0.013173805
